title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
Journey to the Center of the Earth	830	109	Q219457	A Journey to the Centre of the Earth	1864 science fiction novel by Jules Verne	Jules Verne	1864	1864	high	accepted_overlay
Ivy Day in the Committee Room	831	109	Q3794210	Ivy Day in the Committee Room	short story by James Joyce	James Joyce	1914	1914	high	accepted_overlay
Mosses from an Old Manse	832	131	Q6916648	Mosses from an Old Manse	short story collection by Nathaniel Hawthorne	Nathaniel Hawthorne	1846	1846	high	accepted_overlay
Midaq Alley	833	113	Q510850	Midaq Alley	1947 novel by Naguib Mahfouz	Naguib Mahfouz	1947	1947	high	accepted_overlay
An Essay on Criticism	834	154	Q482427	An Essay on Criticism	British poem	Alexander Pope	1711	1711	high	accepted_overlay
The Marble Faun	835	96	Q3222702	The Marble Faun	novel by Nathaniel Hawthorne	Nathaniel Hawthorne	1860	1860	high	accepted_overlay
The Pit and the Pendulum	836	82	Q379449	The Pit and the Pendulum	story by Edgar Allan Poe	Edgar Allan Poe	1842	1842	high	accepted_overlay
Tonight I Can Write	837	270	""	""	""	""	""	""	""	no_high_confidence_match
The Diamond Necklace	838	89	Q1650570	The Necklace	1884 short story by Guy de Maupassant	Guy de Maupassant	1884	1884	high	accepted_overlay
Jerusalem Delivered	839	86	Q1053313	Jerusalem Delivered	epic poem by the Italian poet Torquato Tasso first published in 1581; tells a mythified account of the First Crusade in which Christian knights led by Godfrey of Bouillon battle to take Jerusalem	Torquato Tasso	1581	1581	high	accepted_overlay
The Lamb	840	92	""	""	""	""	""	""	""	no_high_confidence_match
Troilus and Cressida	841	117	Q183304	Troilus and Cressida	play by William Shakespeare	William Shakespeare	1602	1602	high	accepted_overlay
The Minister’s Black Veil	842	123	""	""	""	""	""	""	""	no_high_confidence_match
Some Prefer Nettles	843	133	Q7559478	Some Prefer Nettles	1929 novel by Jun'ichirō Tanizaki	Jun'ichirō Tanizaki	1929	1929	high	accepted_overlay
The Aleph	844	81	Q743304	The Aleph	1949 short story collection by Jorge Luis Borges	Jorge Luis Borges	1949	1949	high	accepted_overlay
Our American Cousin	845	87	Q1639322	Our American Cousin	Play by Tom Taylor	Tom Taylor		""	medium	accepted_overlay
The Duchess of Malfi	846	86	Q3408612	The Duchess of Malfi	1623 tragedy by John Webster	John Webster	1623	1623	high	accepted_overlay
The Bridge	847	79	""	""	""	""	""	""	""	no_high_confidence_match
The Pot of Gold	848	100	Q1234585	Aulularia	ancient Roman play by Plautus	Plautus	-190	c. 2nd century BCE	medium	manual_corrected_overlay
The Devil and Daniel Webster	849	101	Q7729994	The Devil and Daniel Webster	1936 short story by Stephen Vincent Benét	Stephen Vincent Benét	1936	1936	high	accepted_overlay
Kidnapped	850	67	Q2349094	Kidnapped	1886 novel by Robert Louis Stevenson	Robert Louis Stevenson	1886	1886	high	accepted_overlay
Elemental Odes	851	129	""	""	""	""	""	""	""	no_high_confidence_match
Venus and Adonis	852	130	Q1066765	Venus and Adonis	poem by William Shakespeare	William Shakespeare	1593	1593	high	accepted_overlay
Harrison Bergeron	853	82	Q3025364	Harrison Bergeron	short story by Kurt Vonnegut	Kurt Vonnegut	1960	1960	high	accepted_overlay
Murder in the Cathedral	854	102	Q1947367	Murder in the Cathedral	play by T. S. Eliot	T. S. Eliot	1935	1935	high	accepted_overlay
Gabriela, Clove, and Cinnamon	855	94	""	""	""	""	""	""	""	no_high_confidence_match
Timon of Athens	856	76	Q284641	Timon of Athens	play by Shakespeare	William Shakespeare	1623	1623	high	accepted_overlay
The Children of Gebelawi	857	157	""	""	""	""	""	""	""	no_high_confidence_match
Peter Pan	858	225	""	""	""	""	""	""	""	no_high_confidence_match
Cakes and Ale	859	98	Q2266873	Cakes and Ale	1930 novel by William Somerset Maugham	William Somerset Maugham	1930	1930	high	accepted_overlay
Songs of Experience	860	201	Q27890603	Songs of Experience	1794 poetry collection by William Blake	William Blake	1794	1794	high	accepted_overlay
Walden Two	861	147	Q3289889	Walden Two	1948 novel by B.F. Skinner	B. F. Skinner	1948	1948	high	accepted_overlay
Burnt Norton	862	93	Q3647427	Burnt Norton	1936 poem written by T. S. Eliot	T. S. Eliot	1936	1936	high	accepted_overlay
Crome Yellow	863	100	Q5187582	Crome Yellow	novel by Aldous Huxley	Aldous Huxley	1921	1921	high	accepted_overlay
Penguin Island	864	92	Q1213641	Penguin Island	novel by Anatole France	Anatole France	1908	1908	high	accepted_overlay
The World According to Garp	865	103	Q2507282	The World According to Garp	1978 novel by John Irving	John Irving	1978	1978	high	accepted_overlay
The White Devil	866	91	Q1117565	The White Devil	1612 play by John Webster	John Webster	1612	1612	high	accepted_overlay
Harry Haller	867	246	""	""	""	""	""	""	""	no_high_confidence_match
The Violent Bear It Away	868	110	Q7772743	The Violent Bear It Away	1960 novel by Flannery O'Connor	Flannery O'Connor	1960	1960	high	accepted_overlay
A Sentimental Education	869	157	Q1212285	Sentimental Education	novel by Gustave Flaubert	Gustave Flaubert	1869	1869	high	accepted_overlay
Maud Muller	870	80	Q6792246	Maud Muller	poem	John Greenleaf Whittier	1854	1854	high	accepted_overlay
A Coney Island of the Mind	871	120	Q4656064	A Coney Island of the Mind	book by Lawrence Ferlinghetti	Lawrence Ferlinghetti		""	medium	accepted_overlay
Auto-da-Fé	872	121	Q1211666	Auto-da-Fé	1935 novel by Elias Canetti	Elias Canetti	1935	1935	high	accepted_overlay
The Flea	873	76	Q2158151	The Flea	English-language erotic metaphysical poem by John Donne	John Donne		""	medium	accepted_overlay
Independent People	874	75	Q3449499	Independent People	novel by Halldór Laxness (1934, 1935)	Halldór Laxness	1934	1934	high	accepted_overlay
Elective Affinities	875	103	Q951198	Elective Affinities	novel by Johann Wolfgang von Goethe	Johann Wolfgang von Goethe	1809	1809	high	accepted_overlay
Ghosts	876	58	Q1434818	Ghosts	play by Henrik Ibsen from 1881	Henrik Ibsen	1881	1881	high	accepted_overlay
Mademoiselle Fifi	877	112	""	""	""	""	""	""	""	no_high_confidence_match
Tlon, Uqbar, Orbis Tertius	878	99	Q1673835	Tlön, Uqbar, Orbis Tertius	short story by Jorge Luis Borges	Jorge Luis Borges	1940	1940	high	accepted_overlay
Sinbad the Sailor	879	153	""	""	""	""	""	""	""	no_high_confidence_match
The Last Tycoon	880	111	Q1199412	The Love of the Last Tycoon	1941 novel by F. Scott Fitzgerald	F. Scott Fitzgerald	1941	1941	high	accepted_overlay
Tom Sawyer	881	255	""	""	""	""	""	""	""	rejected_character_entity
The White Goddess	882	126	Q2633415	The White Goddess	book by Robert Graves	Robert Graves	1948	1948	high	accepted_overlay
El Aleph	883	74	""	""	""	""	""	""	""	no_high_confidence_match
The Parliament of Fowls	884	86	Q2488701	Parlement of Foules	Middle English poem by Chaucer	Geoffrey Chaucer	1381	1381	high	accepted_overlay
After Many a Summer Dies the Swan	885	98	Q3187145	After Many a Summer	novel by Aldous Huxley	Aldous Huxley	1939	1939	high	accepted_overlay
The Short Happy Life of Francis Macomber	886	71	Q1171416	The Short Happy Life of Francis Macomber	short story by Ernest Hemingway set in Africa	Ernest Hemingway	1936	1936	high	accepted_overlay
Parade's End	887	95	""	""	""	""	""	""	""	no_high_confidence_match
Babbitt	888	59	Q1107000	Babbitt	novel by Sinclair Lewis	Sinclair Lewis	1922	1922	high	accepted_overlay
The Amazing Adventures of Kavalier and Clay	889	78	Q2705230	The Amazing Adventures of Kavalier & Clay	novel by Michael Chabon	Michael Chabon	2000	2000	high	accepted_overlay
Dom Casmurro	890	76	Q1236531	Dom Casmurro	1899 novel by Joaquim Maria Machado de Assis	Machado de Assis	1899	1899	high	accepted_overlay
The Book of Job	891	144	""	""	""	""	""	""	""	no_high_confidence_match
Giants in the Earth	892	70	""	""	""	""	""	""	""	no_high_confidence_match
The New Life	893	229	""	""	""	""	""	""	""	no_high_confidence_match
The Secret Life of Walter Mitty	894	98	Q2177112	The Secret Life of Walter Mitty	1939 short story by James Thurber	James Thurber	1939	1939	high	accepted_overlay
Le Pere Goriot	895	90	Q240617	Père Goriot	1835 novel by Honoré de Balzac	Honoré de Balzac	1835	1835	high	accepted_overlay
The New Colossus	896	108	Q1361263	The New Colossus	Emma Lazarus poem	Emma Lazarus	1883	1883	high	accepted_overlay
The Woman Warrior	897	104	Q14981259	The Woman Warrior	1976 novel by Maxine Hong Kingston	Maxine Hong Kingston	1976	1976	high	accepted_overlay
Barbara Frietchie	898	101	Q4858898	Barbara Frietchie	play written by Clyde Fitch	Clyde Fitch		""	medium	accepted_overlay
The Killers	899	75	Q1213811	The Killers	short story by Ernest Hemingway	Ernest Hemingway	1927	1927	high	accepted_overlay
The Cantos	900	76	Q2701465	The Cantos	long, incomplete poem in 116 sections (“cantos”), written by Ezra Pound from 1915 to 1962	Ezra Pound	1915	1915	high	accepted_overlay
Noli Me Tangere	902	127	""	""	""	""	""	""	""	no_high_confidence_match
The Loved One	903	103	Q3793322	The Loved One	1948 novel by Evelyn Waugh	Evelyn Waugh	1948	1948	high	accepted_overlay
The Loneliness of the Long Distance Runner	904	79	Q3222069	The Loneliness of the Long Distance Runner	short story by Alan Sillitoe	Alan Sillitoe	1959	1959	high	accepted_overlay
The Royal Family	905	362	""	""	""	""	""	""	""	held_title_collision
The Wings of the Dove	906	85	Q1557588	The Wings of the Dove	1902 novel by Henry James	Henry James	1902	1902	high	accepted_overlay
The Haunting of Hill House	907	115	Q3819311	The Haunting of Hill House	1959 novel by Shirley Jackson	Shirley Jackson	1959	1959	high	accepted_overlay
Agnes Grey	908	109	Q517172	Agnes Grey	1847 novel by Anne Brontë	Anne Brontë	1847	1847	high	accepted_overlay
The Deserted Village	909	123	Q16385462	The Deserted Village	poem by Oliver Goldsmith	Oliver Goldsmith	1770	1770	high	accepted_overlay
Too Late the Phalarope	910	129	Q7823856	Too Late the Phalarope	1953 novel by Alan Paton	Alan Paton	1953	1953	high	accepted_overlay
The Marriage of Heaven and Hell	911	124	Q1132673	The Marriage of Heaven and Hell	literary work by William Blake	William Blake	1793	1793	high	accepted_overlay
The Convergence of the Twain	912	112	""	""	""	""	""	""	""	no_high_confidence_match
Be the Verse	913	143	""	""	""	""	""	""	""	no_high_confidence_match
The French Lieutenant’s Woman	914	86	Q1268075	The French Lieutenant's Woman	1969 novel by John Fowles	John Fowles	1969	1969	high	accepted_overlay
Through the Looking Glass	915	225	Q220331	Through the Looking-Glass	1871 children's novel by Lewis Carroll	Lewis Carroll	1871	1871	high	accepted_overlay
The Village Blacksmith	916	96	Q7772646	The Village Blacksmith	1840 Longfellow poem	Henry Wadsworth Longfellow	1840	1840	high	accepted_overlay
Hell Screen	917	99	Q1041621	Hell Screen	short story written by Ryūnosuke Akutagawa	Ryūnosuke Akutagawa	1918	1918	high	accepted_overlay
Walden	918	53	""	""	""	""	""	""	""	no_high_confidence_match
The Lost World	919	176	""	""	""	""	""	""	""	held_title_collision
Othello	920	76	Q26833	Othello	theatrical play by William Shakespeare	William Shakespeare	1622	1622	high	accepted_overlay
Sredni Vashtar	921	97	""	""	""	""	""	""	""	no_high_confidence_match
A Hazard of New Fortunes	922	80	Q4657268	A Hazard of New Fortunes	1890 novel by William Dean Howells	William Dean Howells	1890	1890	high	accepted_overlay
Mason and Dixon	923	109	""	""	""	""	""	""	""	no_high_confidence_match
The Namesake	924	71	Q7753070	The Namesake	novel by Jhumpa Lahiri	Jhumpa Lahiri	2003	2003	high	accepted_overlay
Frost at Midnight	925	90	Q5506178	Frost at Midnight	Poem by Samuel Taylor Coleridge	Samuel Taylor Coleridge	1798	1798	high	accepted_overlay
Just So Stories	926	99	Q1247723	Just So Stories	short story collection by Rudyard Kipling	Rudyard Kipling	1902	1902	high	accepted_overlay
Richard III	927	118	Q652011	Richard III	Shakespearean history play	William Shakespeare	1593	1593	high	accepted_overlay
Pincher Martin	928	95	Q755441	Pincher Martin	novel by William Golding	William Golding	1956	1956	high	accepted_overlay
I, Too	929	223	Q24964612	I, Too	1926 poem by Langston Hughes	Langston Hughes	1926	1926	high	accepted_overlay
Let Us Now Praise Famous Men	930	139	""	""	""	""	""	""	""	no_high_confidence_match
A Delicate Balance	931	124	Q4656398	A Delicate Balance	play written by Edward Albee	Edward Albee		""	medium	accepted_overlay
The Rose Tattoo	932	78	Q1219620	The Rose Tattoo	play by Tennessee Williams	Tennessee Williams		""	medium	accepted_overlay
The Albatross	933	155	Q3201688	The Albatross	poem by Charles Baudelaire	Charles Baudelaire	1842	1842	high	accepted_overlay
I Heard a Fly Buzz When I Died	934	222	""	""	""	""	""	""	""	no_high_confidence_match
Life & Times	935	364	""	""	""	""	""	""	""	no_high_confidence_match
A Moveable Feast	936	99	Q2052363	A Moveable Feast	memoir by Ernest Hemingway about his years as a struggling young expatriate journalist and writer in Paris in the 1920s while he was married to his first wife, Hadley Richardson; first published in 1964	Ernest Hemingway	1964	1964	high	accepted_overlay
The Winter of Our Discontent	937	136	Q2063426	The Winter of Our Discontent	1961 novel by John Steinbeck	John Steinbeck	1961	1961	high	accepted_overlay
Babette’s Feast	938	106	Q1762979	Babette's Feast	short story by Karen Blixen	Karen Blixen	1950	1950	high	accepted_overlay
Buried Child	939	80	Q1521927	Buried Child	play by Sam Shepard	Sam Shepard		""	medium	accepted_overlay
Manhattan Transfer	940	104	Q1648409	Manhattan Transfer	1925 novel by John Dos Passos	John Dos Passos	1925	1925	high	accepted_overlay
Identity Card	941	91	Q31316487	Identity Card	book by Salahuddin Pervez	Salahuddin Pervez	1989	1989	high	accepted_overlay
Casey at the Bat	942	73	Q2735619	Casey at the Bat	baseball poem written during 1888 by Ernest Thayer	Ernest Thayer	1888	1888	high	accepted_overlay
The Blue Bird	943	95	Q1367544	The Blue Bird	play by Maurice Maeterlinck	Maurice Maeterlinck	1908	1908	high	accepted_overlay
Between the Acts	944	97	Q2342630	Between the Acts	final novel by Virginia Woolf	Virginia Woolf	1941	1941	high	accepted_overlay
The 42nd Parallel	945	135	Q20664267	The 42nd Parallel	novel by John Dos Passos	John Dos Passos	1930	1930	high	accepted_overlay
A Very Old Man with Enormous Wings	946	85	Q4340672	A Very Old Man with Enormous Wings	1968 short story by Gabriel García Márquez	Gabriel García Márquez	1968	1968	high	accepted_overlay
The Dharma Bums	947	132	Q1493270	The Dharma Bums	novel by Jack Kerouac	Jack Kerouac	1958	1958	high	accepted_overlay
Three Tall Women	948	87	Q3998111	Three Tall Women	play written by Edward Albee	Edward Albee		""	medium	accepted_overlay
Paterson	949	80	""	""	""	""	""	""	""	no_high_confidence_match
Dance of the Happy Shades	950	99	Q60663952	Dance of the Happy Shades	short story by Alice Munro	Alice Munro	1961	1961	high	accepted_overlay
Janie Crawford	951	224	""	""	""	""	""	""	""	no_high_confidence_match
Evangeline	952	53	Q2625102	Evangeline	poem by Henry Wadsworth Longfellow	Henry Wadsworth Longfellow	1847	1847	high	accepted_overlay
Ballad of Reading Gaol	953	141	""	""	""	""	""	""	""	no_high_confidence_match
Rabbit, Run	954	111	Q178791	Rabbit, Run	1960 novel by John Updike	John Updike	1960	1960	high	accepted_overlay
Bernice Bobs Her Hair	955	87	Q4894279	Bernice Bobs Her Hair	1920 short story by F. Scott Fitzgerald	F. Scott Fitzgerald	1920	1920	high	accepted_overlay
