title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
The Bloody Chamber	799	110	Q882388	The Bloody Chamber	collection of short stories by Angela Carter	Angela Carter	1979	1979	high	accepted_overlay
The Ghost Sonata	800	174	Q1213009	The Ghost Sonata	play by August Strindberg	""	1907	1907	medium	accepted_overlay
The Time of Your Life	801	127	Q7769360	The Time of Your Life	play by William Saroyan	William Saroyan	1939	1939	high	accepted_overlay
The Four Horsemen of the Apocalypse	802	170	Q9024244	The Four Horsemen of the Apocalypse	novel by Vicente Blasco Ibañez	Vicente Blasco Ibáñez	1916	1916	high	accepted_overlay
Nathan the Wise	803	137	Q286611	Nathan the Wise	play by Gotthold Ephraim Lessing (1779)	Gotthold Ephraim Lessing	1779	1779	high	accepted_overlay
The Idea of Order at Key West	804	110	Q7741332	The Idea of Order at Key West	poem by Wallace Stevens	Wallace Stevens		""	medium	accepted_overlay
Buddenbrooks	805	73	Q326909	Buddenbrooks	1901 novel by Thomas Mann	Thomas Mann	1901	1901	high	accepted_overlay
Ariel	806	103	""	""	""	""	""	""	""	no_high_confidence_match
Lost in Translation	807	116	""	""	""	""	""	""	""	no_high_confidence_match
Inherit the Wind	808	93	Q3561870	Inherit the Wind	American play about the Scopes trial	Jerome Lawrence; Robert Edwin Lee		""	medium	accepted_overlay
Troilus and Criseyde	809	128	Q2527101	Troilus and Criseyde	poem by Geoffrey Chaucer	Geoffrey Chaucer	1380	1380	high	accepted_overlay
The Robbers	810	72	Q466333	The Robbers	play by Friedrich Schiller	Friedrich Schiller	1782	1782	high	accepted_overlay
Theme for English B	811	113	""	""	""	""	""	""	""	no_high_confidence_match
The Way of All Flesh	812	82	Q255074	The Way of All Flesh	semi-autobiographical Novel (1903) by Samuel Butler	Samuel Butler	1903	1903	high	accepted_overlay
Nausea	813	65	Q658288	Nausea	novel by Jean-Paul Sartre	Jean-Paul Sartre	1938	1938	high	accepted_overlay
Pale Horse, Pale Rider	815	108	Q2047664	Pale Horse, Pale Rider	book by Katherine Anne Porter	Katherine Anne Porter	1939	1939	high	accepted_overlay
The Sandman	816	79	Q798227	The Sandman	short story by E.T.A. Hoffmann	E. T. A. Hoffmann	1817	1817	high	accepted_overlay
Tis Pity She's a Whore	817	84	""	""	""	""	""	""	""	no_high_confidence_match
Every Man in His Humour	818	91	Q5417547	Every Man in His Humour	play written by Ben Jonson	Ben Jonson	1601	1601	high	accepted_overlay
Nostromo	819	63	Q430248	Nostromo	1904 novel by Joseph Conrad	Joseph Conrad	1904	1904	high	accepted_overlay
Pudd'nhead Wilson	820	119	""	""	""	""	""	""	""	no_high_confidence_match
Good Country People	822	118	Q5582490	Good Country People	short story by Flannery O'Connor	Flannery O'Connor		""	medium	accepted_overlay
The Mayor of Zalamea	823	94	Q686158	The Mayor of Zalamea	play by Pedro Calderón de la Barca	Pedro Calderón de la Barca	1651	1651	high	accepted_overlay
Woman in the Dunes	824	105	""	""	""	""	""	""	""	no_high_confidence_match
Betrayed by Rita Hayworth	825	108	Q4898214	Betrayed by Rita Hayworth	novel by Manuel Puig	Manuel Puig	1968	1968	high	accepted_overlay
American Buffalo	826	104	Q4743263	American Buffalo	play written by David Mamet	David Mamet		""	medium	accepted_overlay
The Tragic Muse	827	171	Q3659366	The Tragic Muse	novel by Henry James	Henry James	1890	1890	high	accepted_overlay
The River Merchants Wife	828	216	""	""	""	""	""	""	""	no_high_confidence_match
Enrico IV	829	77	Q667340	Henry IV	play written by Luigi Pirandello	Luigi Pirandello	1922	1922	high	accepted_overlay
