rank	title	total_question_count	tier	boundary_domain	boundary_reason	dominant_quizbowl_track	quizbowl_track_profile	literature_track_count	non_literature_track_count	work_form	reading_unit	region_or_tradition	suggested_action
1354	Book of Jonah	56	qb_major	religion	scripture_or_religious_text_signal	other_academic	cross_category_literary	1	41	unknown_form	unclassified_unit	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1561	Kristin Lavransdatter	56	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	54	collection_or_cycle	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1784	The Alexandria Quartet	56	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	49	long_fiction	postwar_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2245	Poems and Ballads	56	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	48	collection_or_cycle	collections_and_cycles	english_british_irish	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2294	Book of Ecclesiastes	56	qb_major	religion	scripture_or_religious_text_signal	literature	literature_dominant	22	23	long_fiction	fiction_and_narrative	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1455	Book of Ruth	55	qb_major	religion	scripture_or_religious_text_signal	other_academic	non_literature_context	0	45	unknown_form	unclassified_unit	biblical_religious	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1775	Group Portrait with Lady	55	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	51	long_fiction	postwar_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1599	Requiem for a Nun	54	qb_major	music_performance	music_or_performance_signal	other_academic	cross_category_literary	18	32	long_fiction	postwar_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1639	Sunflower Sutra	54	qb_major	religion	scripture_or_religious_text_signal	literature	literature_dominant	35	27	poetry	nineteenth_century_poetry_and_drama	biblical_religious	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1717	The Good Soldier Svejk	54	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	49	long_fiction	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2226	Heinrich von Ofterdingen	54	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	63	long_fiction	nineteenth_century_fiction	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2265	The Tortoise and the Hare	54	qb_major	mythology	myth_or_oral_tradition_signal	other_academic	cross_category_literary	19	20	long_fiction	fiction_and_narrative	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1624	Zuleika Dobson	53	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	53	long_fiction	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1907	Lunch Poems	53	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	52	collection_or_cycle	collections_and_cycles	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2232	His Dark Materials	53	qb_major	music_performance	music_or_performance_signal	pop_culture	non_literature_context	0	47	unknown_form	unclassified_unit	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2271	The Uprooted Pine	53	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	49	drama	drama	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2323	The Motorcycle Diaries	53	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	41	collection_or_cycle	collections_and_cycles	latin_american	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1971	The God Abandons Antony	52	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	54	poetry	postwar_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
2300	The Epic of the Wheat	52	qb_major	mythology	myth_or_oral_tradition_signal	literature	literature_dominant	27	21	epic_or_romance	epic_romance_or_oral_tradition	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1827	The Song of Bernadette	51	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	54	unknown_form	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1939	Hay Fever	51	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	40	drama	drama	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1703	The Hasty Pudding	50	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	50	poetry	poetry	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1759	The Web and the Rock	50	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	51	long_fiction	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
